title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C3_label,C4_label,C5_label
Using Stack Overflow content to assist in code review,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.2706,"@article{sharma2019using,
  title={Using Stack Overflow content to assist in code review},
  author={Sharma, Shipra and Sodhi, Balwinder},
  journal={Software: Practice and Experience},
  volume={49},
  number={8},
  pages={1255--1277},
  year={2019},
  publisher={Wiley Online Library}
}",article,Using Stack Overflow content to assist in code review,2019,en,1,1,0
Deepcrceval: Revisiting the evaluation of code review comment generation,https://library.oapen.org/bitstream/handle/20.500.12657/101665/9783031909009.pdf?sequence=1#page=58,"@inproceedings{lu2025deepcrceval,
  title={Deepcrceval: Revisiting the evaluation of code review comment generation},
  author={Lu, Junyi and Li, Xiaojia and Hua, Zihan and Yu, Lei and Cheng, Shiqi and Yang, Li and Zhang, Fengjun and Zuo, Chun},
  booktitle={International Conference on Fundamental Approaches to Software Engineering},
  pages={43--64},
  year={2025},
  organization={Springer Nature Switzerland Cham}
}",inproceedings,Deepcrceval: Revisiting the evaluation of code review comment generation,2025,en,1,1,0
Code-Review-as-an-Educational-Service: A tool for Java code review in programming education,https://www.sciencedirect.com/science/article/pii/S2352711025000159,"@article{beattie2025code,
  title={Code-Review-as-an-Educational-Service: A tool for Java code review in programming education},
  author={Beattie, Matthew and Watson, Moira and Greer, Desmond and Toh, Bee-Yen and Li, Zheng},
  journal={SoftwareX},
  volume={29},
  pages={102048},
  year={2025},
  publisher={Elsevier}
}",article,Code-Review-as-an-Educational-Service: A tool for Java code review in programming education,2025,en,0,,
A study of the quality-impacting practices of modern code review at sony mobile,https://dl.acm.org/doi/abs/10.1145/2889160.2889243,"@inproceedings{shimagaki2016study,
  title={A study of the quality-impacting practices of modern code review at sony mobile},
  author={Shimagaki, Junji and Kamei, Yasutaka and McIntosh, Shane and Hassan, Ahmed E and Ubayashi, Naoyasu},
  booktitle={Proceedings of the 38th International Conference on Software Engineering Companion},
  pages={212--221},
  year={2016}
}",inproceedings,A study of the quality-impacting practices of modern code review at sony mobile,2016,en,0,,
Teaching code review management using branch based workflows,https://dl.acm.org/doi/abs/10.1145/2889160.2889191,"@inproceedings{krusche2016teaching,
  title={Teaching code review management using branch based workflows},
  author={Krusche, Stephan and Berisha, Mjellma and Bruegge, Bernd},
  booktitle={Proceedings of the 38th International Conference on Software Engineering Companion},
  pages={384--393},
  year={2016}
}",inproceedings,Teaching code review management using branch based workflows,2016,en,0,,
Developer perceptions of modern code review processes in practice: Insights from a case study in a mid-sized company,https://www.sciencedirect.com/science/article/pii/S0164121224003327,"@article{dos2025developer,
  title={Developer perceptions of modern code review processes in practice: Insights from a case study in a mid-sized company},
  author={dos Santos, Eduardo Witter and Nunes, Ingrid and Jannach, Dietmar},
  journal={Journal of Systems and Software},
  volume={222},
  pages={112288},
  year={2025},
  publisher={Elsevier}
}",article,Developer perceptions of modern code review processes in practice: Insights from a case study in a mid-sized company,2025,en,0,,
Predicting design impactful changes in modern code review: A large-scale empirical study,https://ieeexplore.ieee.org/abstract/document/9463137/,"@inproceedings{uchoa2021predicting,
  title={Predicting design impactful changes in modern code review: A large-scale empirical study},
  author={Uch{\^o}a, Anderson and Barbosa, Caio and Coutinho, Daniel and Oizumi, Willian and Assun{\c{c}}ao, Wesley KG and Vergilio, Silvia Regina and Pereira, Juliana Alves and Oliveira, Anderson and Garcia, Alessandro},
  booktitle={2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR)},
  pages={471--482},
  year={2021},
  organization={IEEE}
}",inproceedings,Predicting design impactful changes in modern code review: A large-scale empirical study,2021,en,0,,
Situational factors for modern code review to support software engineers' sustainability,https://search.proquest.com/openview/83ab8de26993bc1c6bdec1f1b0e639b7/1?pq-origsite=gscholar&cbl=5444811,"@article{nazir2020situational,
  title={Situational factors for modern code review to support software engineersâ sustainability},
  author={Nazir, Sumaira and Fatima, Nargis and Chuprat, Suriayati},
  journal={International Journal of Advanced Computer Science and Applications},
  volume={11},
  number={1},
  year={2020},
  publisher={Science and Information (SAI) Organization Limited}
}",article,Situational factors for modern code review to support software engineersâ sustainability,2020,en,0,,
Predicting developers' negative feelings about code review,https://dl.acm.org/doi/abs/10.1145/3377811.3380414,"@inproceedings{egelman2020predicting,
  title={Predicting developers' negative feelings about code review},
  author={Egelman, Carolyn D and Murphy-Hill, Emerson and Kammer, Elizabeth and Hodges, Margaret Morrow and Green, Collin and Jaspan, Ciera and Lin, James},
  booktitle={Proceedings of the ACM/IEEE 42nd international conference on software engineering},
  pages={174--185},
  year={2020}
}",inproceedings,Predicting developers' negative feelings about code review,2020,en,0,,
Improving Code Review with GitHub Issue Tracking,https://ieeexplore.ieee.org/abstract/document/10068709/,"@inproceedings{al2022improving,
  title={Improving Code Review with GitHub Issue Tracking},
  author={Al-Rubaye, Abduljaleel and Sukthankar, Gita},
  booktitle={2022 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)},
  pages={210--217},
  year={2022},
  organization={IEEE}
}",inproceedings,Improving Code Review with GitHub Issue Tracking,2022,en,1,1,0
Automating code review,https://ieeexplore.ieee.org/abstract/document/10172885/,"@inproceedings{tufano2023automating,
  title={Automating code review},
  author={Tufano, Rosalia},
  booktitle={2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)},
  pages={192--196},
  year={2023},
  organization={IEEE}
}",inproceedings,Automating code review,2023,en,1,1,0
Code Insight: Evaluating an Active Learning Framework for Novice Programmers to Promote the Development of Code Review Skills,https://ieeexplore.ieee.org/abstract/document/11328622/,"@inproceedings{banweer2025code,
  title={Code Insight: Evaluating an Active Learning Framework for Novice Programmers to Promote the Development of Code Review Skills},
  author={Banweer, Keerti and Trytten, Deborah},
  booktitle={2025 IEEE Frontiers in Education Conference (FIE)},
  pages={1--9},
  year={2025},
  organization={IEEE}
}",inproceedings,Code Insight: Evaluating an Active Learning Framework for Novice Programmers to Promote the Development of Code Review Skills,2025,en,0,,
Codereviewqa: The code review comprehension assessment for large language models,https://aclanthology.org/2025.findings-acl.476/,"@inproceedings{lin2025codereviewqa,
  title={Codereviewqa: The code review comprehension assessment for large language models},
  author={Lin, Hong-Yi and Liu, Chunhua and Gao, Haoyu and Thongtanunam, Patanamon and Treude, Christoph},
  booktitle={Findings of the Association for Computational Linguistics: ACL 2025},
  pages={9138--9166},
  year={2025}
}",inproceedings,Codereviewqa: The code review comprehension assessment for large language models,2025,en,1,1,0
Incorporating a code review process into the assessment,https://www.researchbank.ac.nz/items/30b6cd87-d494-42e3-a887-2fdf608be405,"@article{li2007incorporating,
  title={Incorporating a code review process into the assessment},
  author={Li, Xiaosong},
  year={2007}
}",article,Incorporating a code review process into the assessment,2007,en,0,,
The Prevalence of Code Review Guidelines for GUI-Based Testing in Open-Source,https://www.diva-portal.org/smash/record.jsf?pid=diva2:2003977,"@article{bauer2025prevalence,
  title={The Prevalence of Code Review Guidelines for GUI-Based Testing in Open-Source},
  author={Bauer, Andreas and Angermeir, Florian and Al{\'e}groth, Emil and Anglert, Seth},
  journal={Information and Software Technology},
  year={2025}
}",article,The Prevalence of Code Review Guidelines for GUI-Based Testing in Open-Source,2025,en,0,,
Code review effectiveness: an empirical study on selected factors influence,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-sen.2020.0134,"@article{jureczko2020code,
  title={Code review effectiveness: an empirical study on selected factors influence},
  author={Jureczko, Marian and Kajda, {\L}ukasz and G{\'o}recki, Pawe{\l}},
  journal={IET Software},
  volume={14},
  number={7},
  pages={794--805},
  year={2020},
  publisher={Wiley Online Library}
}",article,Code review effectiveness: an empirical study on selected factors influence,2020,en,0,,
"Code review of build system specifications: Prevalence, purposes, patterns, and perceptions",https://ieeexplore.ieee.org/abstract/document/10172582/,"@inproceedings{nejati2023code,
  title={Code review of build system specifications: Prevalence, purposes, patterns, and perceptions},
  author={Nejati, Mahtab and Alfadel, Mahmoud and McIntosh, Shane},
  booktitle={2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)},
  pages={1213--1224},
  year={2023},
  organization={IEEE}
}",inproceedings,"Code review of build system specifications: Prevalence, purposes, patterns, and perceptions",2023,en,0,,
Does ai code review lead to code changes? a case study of github actions,https://arxiv.org/abs/2508.18771,"@article{sun2025does,
  title={Does ai code review lead to code changes? a case study of github actions},
  author={Sun, Kexin and Kuang, Hongyu and Baltes, Sebastian and Zhou, Xin and Zhang, He and Ma, Xiaoxing and Rong, Guoping and Shao, Dong and Treude, Christoph},
  journal={arXiv preprint arXiv:2508.18771},
  year={2025}
}",article,Does ai code review lead to code changes? a case study of github actions,2025,en,0,,
INTEGRATING CODE REVIEW INTO A FIRST YEAR COMPUTER SCIENCE PROGRAMMING MODULE,https://library.iated.org/view/BLANCHFIELD2025INT,"@inproceedings{blanchfield2025integrating,
  title={INTEGRATING CODE REVIEW INTO A FIRST YEAR COMPUTER SCIENCE PROGRAMMING MODULE},
  author={Blanchfield, P and Isaacs, C},
  booktitle={ICERI2025 Proceedings},
  pages={1415--1420},
  year={2025},
  organization={IATED}
}",inproceedings,INTEGRATING CODE REVIEW INTO A FIRST YEAR COMPUTER SCIENCE PROGRAMMING MODULE,2025,en,0,,
Evaluating how static analysis tools can reduce code review effort,https://ieeexplore.ieee.org/abstract/document/8103456/,"@inproceedings{singh2017evaluating,
  title={Evaluating how static analysis tools can reduce code review effort},
  author={Singh, Devarshi and Sekar, Varun Ramachandra and Stolee, Kathryn T and Johnson, Brittany},
  booktitle={2017 IEEE symposium on visual languages and human-centric computing (VL/HCC)},
  pages={101--105},
  year={2017},
  organization={IEEE}
}",inproceedings,Evaluating how static analysis tools can reduce code review effort,2017,en,0,,
